,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
585,Uttar pradesh,GORAKHPUR,2001,5,2,4,0,1,2,1,146,0,0,12,3,161
586,Uttar pradesh,HAMIRPUR,2001,5,6,2,0,0,3,11,53,0,41,24,3,121
587,Uttar pradesh,HARDOI,2001,11,14,5,0,2,6,37,119,0,96,67,8,290
588,Uttar pradesh,HATHRAS,2001,3,2,2,2,2,3,8,7,0,69,15,7,98
589,Uttar pradesh,J.P.NAGAR,2001,10,3,3,1,0,1,2,0,0,61,18,2,81
590,Uttar pradesh,JALAUN,2001,6,1,2,1,3,2,6,6,0,124,15,6,151
591,Uttar pradesh,JAUNPUR,2001,3,1,0,0,0,2,10,77,0,30,14,2,123
592,Uttar pradesh,JHANSI,2001,9,5,3,1,0,3,7,82,0,29,24,4,139
593,Uttar pradesh,KANNAUJ,2001,6,1,2,1,2,3,6,6,0,65,15,6,92
594,Uttar pradesh,KANPUR DEHAT,2001,2,3,5,0,2,3,7,8,0,81,17,5,111
595,Uttar pradesh,KANPUR NAGAR,2001,12,11,9,0,5,3,61,120,0,78,93,8,299
596,Uttar pradesh,KAUSHAMBI,2001,6,5,3,0,0,4,22,0,0,102,36,4,142
597,Uttar pradesh,KHIRI,2001,16,21,0,0,2,6,62,165,0,49,99,8,321
598,Uttar pradesh,KUSHI NAGAR,2001,2,3,1,0,0,0,0,68,0,62,6,0,136
599,Uttar pradesh,LALITPUR,2001,0,4,0,0,0,0,5,22,0,19,9,0,50
600,Uttar pradesh,LUCKNOW,2001,11,19,16,1,2,8,24,221,0,128,70,11,430
601,Uttar pradesh,MAHARAJGANJ,2001,0,3,0,0,0,0,0,40,0,1,3,0,44
602,Uttar pradesh,MAHOBA,2001,5,3,1,0,1,1,5,79,0,10,14,2,105
603,Uttar pradesh,MAINPURI,2001,6,4,6,0,3,5,10,90,0,60,26,8,184
604,Uttar pradesh,MATHURA,2001,8,6,2,0,1,2,11,0,0,49,27,3,79
605,Uttar pradesh,MAU,2001,0,2,3,0,0,3,10,17,0,70,15,3,105
606,Uttar pradesh,MEERUT,2001,9,4,6,0,0,1,9,106,0,77,28,1,212
607,Uttar pradesh,MIRZAPUR,2001,2,3,1,0,0,1,1,29,0,6,7,1,43
608,Uttar pradesh,MORADABAD,2001,4,7,1,0,1,3,11,13,0,39,23,4,79
609,Uttar pradesh,MUZAFFARNAGAR,2001,13,11,6,0,1,0,18,7,0,24,48,1,80
610,Uttar pradesh,PILIBHIT,2001,12,11,2,0,3,5,36,101,0,45,61,8,215
611,Uttar pradesh,PRATAPGARH,2001,6,3,3,0,0,2,4,64,0,68,16,2,150
612,Uttar pradesh,RAIBAREILLY,2001,4,19,7,0,1,3,9,183,0,54,39,4,280
613,Uttar pradesh,RAMPUR,2001,6,5,2,0,0,0,0,49,0,3,13,0,65
614,Uttar pradesh,SAHARANPUR,2001,4,5,1,0,0,1,15,4,0,28,25,1,58
